"Group","Country","ELO,Rating"
D,Argentina,1986
C,Australia,1742
G,Belgium,1939
E,Brazil,2142
H,Columbia,1928
E,CostaRica,1744
D,Croatia,1853
C,Denmark,1856
A,Egypt,1646
G,England,1948
C,France,1987
F,Germany,2077
D,Iceland,1764
B,Iran,1789
H,Japan,1684
F,Korea,1714
F,Mexico,1850
B,Moracco,1733
D,Nigeria,1681
G,Panama,1659
C,Peru,1915
H,Poland,1831
B,Portugal,1970
A,Russia,1678
A,SaudiArabia,1591
H,Senegal,1750
E,Serbia,1777
B,Spain,2044
F,Sweden,1795
E,Switzerland,1890
G,Tunesia,1657
A,Uruguay,1894
